Participant,Model,Data_Type,Accuracy,Precision,Recall,F1-Score
1_30_08,FFNN,Angles,0.7868852459016393,0.7972539267926937,0.7868852459016393,0.7866525160649763
1_30_08,LSTM,Angles,0.22058823529411764,0.048659169550173006,0.22058823529411764,0.07973068745570518
1_30_08,CNN,Angles,0.7358834244080146,0.7388607224232114,0.7358834244080146,0.7299665529201167
1_30_08,FFNN,Raw,0.2971014492753623,0.314109923038199,0.2971014492753623,0.26742771177545527
1_30_08,LSTM,Raw,0.21691176470588236,0.04705071366782007,0.21691176470588236,0.07732806113381907
1_30_08,CNN,Raw,0.26268115942028986,0.1922775944894246,0.26268115942028986,0.16955645107248812
1_30_08,FFNN,Emg,0.21338155515370705,0.045531688079814524,0.21338155515370705,0.07504925039683288
1_30_08,LSTM,Emg,0.21323529411764705,0.045469290657439446,0.21323529411764705,0.0749554367201426
1_30_08,CNN,Emg,0.2115732368896926,0.04476323456798197,0.2115732368896926,0.0738927424361016
2_30_08,FFNN,Angles,0.7512038523274478,0.7522159463767532,0.7512038523274478,0.7467752555907168
2_30_08,LSTM,Angles,0.24671052631578946,0.06086608379501385,0.24671052631578946,0.09764268851548395
2_30_08,CNN,Angles,0.7351524879614767,0.7600436289273604,0.7351524879614767,0.7266525486081699
2_30_08,FFNN,Raw,0.31129032258064515,0.28722660472049727,0.31129032258064515,0.27943574336268834
2_30_08,LSTM,Raw,0.25,0.0625,0.25,0.1
2_30_08,CNN,Raw,0.25161290322580643,0.22199745151352007,0.25161290322580643,0.20251324827174993
2_30_08,FFNN,Emg,0.21221864951768488,0.04503675520310997,0.21221864951768488,0.07430467304067481
2_30_08,LSTM,Emg,0.24671052631578946,0.06086608379501385,0.24671052631578946,0.09764268851548395
2_30_08,CNN,Emg,0.21221864951768488,0.04503675520310997,0.21221864951768488,0.07430467304067481
3_30_08,FFNN,Angles,0.746077032810271,0.7848827899205603,0.746077032810271,0.7515798774098658
3_30_08,LSTM,Angles,0.2857142857142857,0.1889840227278651,0.2857142857142857,0.17664920187257774
3_30_08,CNN,Angles,0.7275320970042796,0.7682566127927943,0.7275320970042796,0.7339509713635753
3_30_08,FFNN,Raw,0.2796005706134094,0.269458479957706,0.2796005706134094,0.2541671087741636
3_30_08,LSTM,Raw,0.25148809523809523,0.06324626204648526,0.25148809523809523,0.10107369344884208
3_30_08,CNN,Raw,0.2225392296718973,0.1942207772511172,0.2225392296718973,0.1205059879895081
3_30_08,FFNN,Emg,0.2042857142857143,0.04173265306122449,0.2042857142857143,0.06930689713607864
3_30_08,LSTM,Emg,0.24851190476190477,0.061758166808390025,0.24851190476190477,0.09893084170497758
3_30_08,CNN,Emg,0.2042857142857143,0.04173265306122449,0.2042857142857143,0.06930689713607864
1_31_08,FFNN,Angles,0.7272727272727273,0.7485101750377458,0.7272727272727273,0.7249330676923984
1_31_08,LSTM,Angles,0.20833333333333334,0.04340277777777778,0.20833333333333334,0.07183908045977012
1_31_08,CNN,Angles,0.7470355731225297,0.7630143830684292,0.7470355731225297,0.7448875616480677
1_31_08,FFNN,Raw,0.27167630057803466,0.2261102724696574,0.27167630057803466,0.24027957638802389
1_31_08,LSTM,Raw,0.216796875,0.047000885009765625,0.216796875,0.07725346107544141
1_31_08,CNN,Raw,0.2138728323699422,0.2867877812869004,0.2138728323699422,0.12792143636547174
1_31_08,FFNN,Emg,0.18426103646833014,0.033952129560383286,0.18426103646833014,0.057338928690306955
1_31_08,LSTM,Emg,0.224609375,0.050449371337890625,0.224609375,0.08239259370015949
1_31_08,CNN,Emg,0.18426103646833014,0.033952129560383286,0.18426103646833014,0.057338928690306955
2_31_08,FFNN,Angles,0.7602591792656588,0.7821414162669693,0.7602591792656588,0.7632546477656453
2_31_08,LSTM,Angles,0.24553571428571427,0.060287786989795915,0.24553571428571427,0.09680619559651818
2_31_08,CNN,Angles,0.6673866090712743,0.6981561251177182,0.6673866090712743,0.6716103637246473
2_31_08,FFNN,Raw,0.27388535031847133,0.24195206990076348,0.27388535031847133,0.20931149529875645
2_31_08,LSTM,Raw,0.265625,0.070556640625,0.265625,0.11149691358024691
2_31_08,CNN,Raw,0.2229299363057325,0.31248739062151343,0.2229299363057325,0.11930223807457631
2_31_08,FFNN,Emg,0.19787234042553192,0.03915346310547759,0.19787234042553192,0.0653716790748649
2_31_08,LSTM,Emg,0.265625,0.070556640625,0.265625,0.11149691358024691
2_31_08,CNN,Emg,0.19787234042553192,0.03915346310547759,0.19787234042553192,0.0653716790748649
3_31_08,FFNN,Angles,0.7102803738317757,0.770355337205407,0.7102803738317757,0.7235427568641843
3_31_08,LSTM,Angles,0.2548076923076923,0.06492696005917159,0.2548076923076923,0.1034851164161509
3_31_08,CNN,Angles,0.6658878504672897,0.7248220179810775,0.6658878504672897,0.661566167101213
3_31_08,FFNN,Raw,0.2929061784897025,0.29131867077480833,0.2929061784897025,0.28585065175212904
3_31_08,LSTM,Raw,0.2403846153846154,0.057784763313609475,0.2403846153846154,0.09317233154442459
3_31_08,CNN,Raw,0.2379862700228833,0.2188753200262818,0.2379862700228833,0.1288158042406595
3_31_08,FFNN,Emg,0.22727272727272727,0.05165289256198347,0.22727272727272727,0.08417508417508418
3_31_08,LSTM,Emg,0.23076923076923078,0.05325443786982249,0.23076923076923078,0.08653846153846154
3_31_08,CNN,Emg,0.25,0.11711963719775088,0.25,0.15950325263702003
1_02_09,FFNN,Angles,0.670487106017192,0.6773079747997561,0.670487106017192,0.6688747521405326
1_02_09,LSTM,Angles,0.221875,0.049228515625,0.221875,0.08057864450127876
1_02_09,CNN,Angles,0.670487106017192,0.6901532278364673,0.670487106017192,0.6643035243658968
